texto;";";classe
Ney Latorraca melhora e pode deixar CTI na semana que vem. Ator está acordado, sem febre e terá aparelho de respiração artificial removido;";";alegria
Rato é encontrado em lata de feijões na França. Empresa retirou o lote desse produto do mercado. 'É um caso excepcional', afirmou Carrefour em comunicado.;";";surpresa
 Cientistas criam câmera mais rápida do mundo Físicos querem aperfeiçoar técnica para ajudar a detectar tumores.;";";alegria
 Programa em MG aumenta uso de métodos anticoncepcionais entre jovens Uso regular de preservativo com parceiro casual dobrou. Adoção de método contraceptivo na última relação cresceu 68%.;";";alegria
 Alencar é transferido para quarto, diz boletim médico Vice foi submetido a cirurgia na sexta para tratar obstrução intestinal. Médicos dizem que recuperação é considerada 'bastante satisfatória'.;";";alegria
 Saída para a crise pode estar em Darwin, afirma economista norte-americano Professor defende a necessidade de regulação do mercado. Nos 200 anos de Darwin, ele diz que darwinismo se aplica à economia.;";";alegria
 Agitação logo após impacto é bom sinal para Felipe Massa, diz especialista Cirurgião do Albert Einstein indica necessidade de várias tomografias. Impacto forte só pode ser avaliado com esse acompanhamento.;";";alegria
 Sete cidades escolhem novo prefeito em eleição fora de época no domingo Cinco cidades de MG, uma do RS e outra do RN terão eleição. Nesses locais, Justiça anulou resultado do pleito de outubro passado.;";";alegria
 Cientistas usam palavras em milhões de blogs para monitorar felicidade Dupla da Universidade de Vermont deu peso para cada expressão. Dia da eleição de Barack Obama foi o mais feliz em 4 anos.;";";alegria
 Lula reassume Presidência após viagem ao Paraguai José Alencar, que está internado, era o presidente em exercício. Lula deve passar fim de semana em Brasília.;";";alegria
 José Alencar está disposto e conversa normalmente, diz hospital Vice foi submetido a cirurgia na sexta para tratar obstrução intestinal. Ele segue internado na UTI do hospital Sírio Libanês, em São Paulo.;";";alegria
 Pesquisadores da Universidade de São Paulo em Bauru criam carne em pó Produto é destinado a pessoas que não podem mastigar. Carne será 60% mais barata que suplementos de proteína.;";";alegria
 Cientistas procuram voluntárias para comer chocolate belga todos os dias Pesquisa inglesa quer verificar ação benéfica da iguaria sobre o coração. Mulheres precisam ter passado pela menopausa e ter diabete tipo 2.;";";alegria
 Lucro da Lojas Renner tem alta de 9,88%, para R$ 47,8 milhões Resultados da empresa no 2º trimestre saíram nesta segunda-feira (27). No acumulado do 1º semestre, receita da rede superou R$ 1 bilhão.;";";alegria
 Astronautas concluem 5ª caminhada espacial da missão da Endeavour Trabalho externo durou 5 horas, 1h30 mais breve que o previsto. Endeavour deve se desacoplar da ISS nesta terça às 14h26.;";";alegria
 Aquecimento global 'beneficiou Império Inca', diz estudo Pesquisa sugere que clima permitiu aos incas desenvolver agricultura e alimentar população crescente e exército poderoso.;";";alegria
 SUS está preparado para enfrentar nova gripe, diz Ministério da Saúde Sistema de Saúde tem 68 unidades de referência. Ministério alerta para o risco de automedicação.;";";alegria
 Aos 64 anos, noiva realiza sonho em casamento comunitário em MT Evento em Cuiabá reuniu mais de 4 mil casais no sábado (25). Camila Lemes e Luiz Dalbério, 53 anos, estavam junto há nove anos.;";";alegria
 Satélite da Nasa flagra erupção vulcânica em Papua-Nova Guiné Earth Observing-1 fez imagem em 28 de junho. Vulcão Manam é um dos mais ativos da região.;";";alegria
 Mulher de Sarney se recupera bem de cirurgia, diz hospital Dona Marly, de 77 anos, teve fraturas no ombro esquerdo após queda. Segundo boletim médico, não houve necessidade de colocar prótese.;";";alegria
 Ministro diz que acordo com Paraguai não terá impacto no preço da energia Segundo Paulo Bernardo, essa é uma determinação do presidente Lula. Ele disse ainda que Tesouro deve assumir diferença paga aos paraguaios.;";";alegria
 Alencar já caminha e começa a se alimentar nesta segunda, diz hospital Vice foi submetido a cirurgia na sexta para tratar obstrução intestinal. Médicos dizem que vice-presidente está 'evoluindo bem'.;";";alegria
 Governo se mantém otimista com meta de crescimento de 1% em 2009 Em reunião, Lula pediu esforços para aumentar as exportações. Segundo ministro, previsão de crescimento no 4º trimestre é de até 4%.;";";alegria
 Benefícios do Bolsa Família serão reajustados em setembro, diz ministro Segundo ele, decisão sobre o percentual sai nas próximas semanas. Governo estuda criação de política permanente de reajuste.;";";alegria
 Arquiteto projeta muro para conter expansão do deserto do Saara Obra teria 6 mil quilômetros e tentaria evitar desertificação, fenômeno que ameaça 2 bilhões de pessoas segundo a ONU.;";";alegria
 Laboratório japonês da Estação Espacial fará experimentos em biologia Experiências do Kibo também abrangem medicina e biotecnologia. Módulo é operado via centro de controle perto de Tóquio.;";";alegria
 Advogada paga despesas de Clodovil enquanto aguarda indenização Somente gastos com casa de Ubatuba, em SP, somam R$ 7 mil mensais. Deputado falecido manifestou desejo de criar entidade assistencial.;";";alegria
 Lula diz que Vale-Cultura vai possibilitar que pobres tenham ‘acesso à cultura’ Programa prevê cartão de R$ 50 para gastos com cultura. Lula disse que pediu a artistas que discutam a questão no país.;";";alegria
 Vinho tinto aumenta libido feminina, diz estudo Pesquisadores avaliaram questionários de quase 800 mulheres.;";";alegria
 EUA e Israel dizem que negociação é 'produtiva' No entanto, enviado especial dos EUA e premiê israelense não discutiram assentamentos.;";";alegria
 China proíbe jogos de internet que simulem operações da máfia Webgames reúnem jogadores em 'carreira mafiosa'. Produções prejudicam 'moralidade e cultura chinesa', diz governo.;";";alegria
 Exército chinês faz demonstração de habilidades em Pequim Grupo comemora neste sábado seu 82º aniversário. Demonstração envolveu golpes e armas.;";";alegria
 Distribuição gratuita de camisinhas bate recorde no Brasil Governo diz que 406 milhões de unidades foram distribuídas em um ano. Ministério da Saúde anuncia que pode entregar número ainda maior.;";";alegria
 Presidente de Fiji se aposenta aos 88 anos Ratu Josefa Iloilo estava doente havia anos. Ex-chefe das forças armadas deve assumir interinamente.;";";alegria
